0
1
2
3
4
5
6
7
8
18780
         4609816 function calls (4606727 primitive calls) in 41.508 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.018    0.000    0.019    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:200(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:219(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:226(_ctypes)
        1    0.009    0.009    0.062    0.062 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:631(TooHardError)
        1    0.000    0.000    0.000    0.000 _iotools.py:154(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:250(NameValidator)
        1    0.000    0.000    0.001    0.001 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:444(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:460(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
     1341    0.002    0.000    0.002    0.000 _mathtext_data.py:1770(<genexpr>)
        1    0.009    0.009    0.011    0.011 _mathtext_data.py:3(<module>)
     1732    0.013    0.000    0.025    0.000 _methods.py:37(_any)
       13    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:17(Gcf)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.003    0.003    0.156    0.156 _subplots.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _subplots.py:16(SubplotBase)
        1    0.000    0.000    0.000    0.000 _subplots.py:160(subplot_class_factory)
        1    0.000    0.000    0.000    0.000 _subplots.py:182(_PicklableSubplotClassConstructor)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       81    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       75    0.005    0.000    0.006    0.000 _weakrefset.py:58(__iter__)
      303    0.004    0.000    0.004    0.000 _weakrefset.py:70(__contains__)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       17    0.000    0.000    0.005    0.000 abc.py:105(register)
      202    0.002    0.000    0.011    0.000 abc.py:128(__instancecheck__)
    35/23    0.001    0.000    0.009    0.000 abc.py:148(__subclasscheck__)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       18    0.011    0.001    0.019    0.001 abc.py:86(__new__)
       74    0.002    0.000    0.003    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.286    0.286 add_newdocs.py:10(<module>)
        1    0.002    0.002    0.013    0.013 afm.py:34(<module>)
        1    0.000    0.000    0.000    0.000 afm.py:341(AFM)
        3    0.127    0.042    1.869    0.623 apply.py:10(build_lane)
        3    0.317    0.106    1.134    0.378 apply.py:16(randomly_place)
        1    1.056    1.056   13.353   13.353 apply.py:24(duplicate_time)
        1    0.233    0.233   41.512   41.512 apply.py:3(<module>)
        1    0.104    0.104   38.946   38.946 apply.py:30(build_road)
        4    0.000    0.000    1.869    0.467 apply.py:32(<genexpr>)
        1    0.000    0.000    0.000    0.000 argparse.py:1000(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1025(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1027(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1109(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:112(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1153(Namespace)
   206580    3.117    0.000    5.168    0.000 argparse.py:1160(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1180(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:147(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1484(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1518(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1538(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:197(_Section)
        1    0.001    0.001    0.002    0.002 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:629(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:640(RawTextHelpFormatter)
